id,type_id,name
266,9,Snickers
267,9,"Three Musketeers"
268,9,"Tic Tacs"
269,9,"Tootsie Pop"
270,9,Twinkies
271,9,"Twix Bar"
272,9,"Wheat Thins (reduced fat)"
273,10,"Arby's Roast Beef"
274,10,Bacon
275,10,Beef-A-Reeno
276,10,Brisket
277,10,Chili
278,10,Cold-cuts
279,10,"Dog Food"
280,10,"Five Alarm Chili"
281,10,"Franks and Beans"
282,10,Gyro
283,10,"Hamburger (Meduim)"
284,10,"Hamburger (Skyburger)"
285,10,Hamburger
286,10,Hash
287,10,"Sausages (homemade)"
288,10,"Hot Dog"
289,10,"Hot Dog (Papaya King)"
290,10,"Hot Dog (Nathan's)"
291,10,"Hot Dog (phone)"
292,10,"Lamb Chops"
293,10,"Meat Loaf"
294,10,"Meatball Sandwich"
295,10,Mutton
296,10,Pastrami
297,10,"Corned Beef"
298,10,Salami
299,10,Bologna
300,10,"Pork Chops"
301,10,"Porterhouse Steak"
302,10,"Red Meat"
303,10,"Salted Cured Meats"
304,10,Steak
305,10,"Stuffed Cabbage"
306,10,"Steak (T-Bone)"
307,10,Tamale
308,10,"Steak (US Prime)"
309,11,"Calzone (Paisano's)"
310,11,Canolli
311,11,"Chow Fung (noodle)"
312,11,Macaroni
313,11,Fusilli
314,11,Paella
315,11,"Pasta Primavera"
316,11,"Pasta at Chadways"
317,11,Pizza
318,11,"Pizza (Paccino's)"
319,11,Raviolli
320,11,Rigatoni
321,11,Rissoto
322,11,Spaghetti
323,11,Tamales
324,11,"Vegetable Lasagna"
325,12,"Atomic Sub"
326,12,Bologna
327,12,"Bacon Club (no turkey)"
328,12,BLT
329,12,"Brisket Sandwich"
330,12,"Chicken Salad on Rye"
331,12,"Cold Chicken"
332,12,"Egg Salad"
333,12,"Grilled Cheese"
334,12,"Ham and Cheese"
335,12,"Hero Sandwich"
336,12,"Little sandwiches"
337,12,"Ostrich Burger"
338,12,"Pastrami Sandwich"
339,12,"Peanut Butter"
340,12,Reuben
341,12,"Salami Sandwich"
342,12,Salmon
343,12,Tuna
344,12,"Tuna on toast"
345,12,"Turkey Club"
346,12,"Turkey Roll"
347,12,"Turkey Sandwich"
348,13,"Clams Casino"
349,13,"Crab Legs"
350,13,"Flounder Supreme - #47"
351,13,Halibut
352,13,Lobster
353,13,"Lobster on Monk's menu"
354,13,"Lobster Shells"
355,13,Salmon
356,13,Sardines
357,13,Shrimp
358,13,Sole
359,13,Swordfish
360,13,"Tuna Fishy"
361,13,Whitefish
362,14,Bouillabaisse
363,14,"Carrot Soup"
364,14,"Chicken Gumbo"
365,14,"Consommé"
366,14,"Crab Bisque"
367,14,"Creamed Soups"
368,14,"Cuppa Soup"
369,14,"Deli Soup"
370,14,Jambalaya
371,14,"Lobster Bisque"
372,14,"Lima Bean Soup"
373,14,"Motzah Ball"
374,14,"Medium Turkey Chili"
375,14,"Mulligatawny soup"
376,14,"Mushroom Barley"
377,14,"Pea Soup"
378,14,"Tomatoe Soup"
379,14,"Wild Mushroom"
380,14,"Yankee Bean"
381,15,Artichokes
382,15,"Baked Beans"
383,15,"Baked Potato w/Sour Cream"
384,15,"Big Salad"
385,15,Brocolli
386,15,"Chef Salad"
387,15,Carrots
388,15,"Cole Slaw"
389,15,Cucumber
390,15,"Egg Plant"
391,15,"Foliage (edible)"
392,15,"French Fries"
393,15,"French Fried Onion Rings"
394,15,"Hampton Tomatoes"
395,15,"Insalata Grande"
396,15,Kugel
397,15,Kreplach
398,15,Latkas
399,15,"Lettuce (as a brain)"
400,15,Olives
401,15,Onion
402,15,Peas
403,15,"Pea Pods"
404,15,Pickle
405,15,"Potato Salad"
406,15,Potatoes
407,15,"Radish Roses"
408,15,"Roasted Potatoes"
409,15,Salad
410,15,Tzimmis
411,15,"Veggie burger"
412,15,"Wax Beans (Generic brand)"
